1,8999.99,100
9000,9999.99,112.5
10000,10999.99,125
11000,11999.99,137.5
12000,12999.99,150
13000,13999.99,162.5
14000,14999.99,175
15000,15999.99,187.5
16000,16999.99,200
17000,17999.99,212.5
18000,18999.99,225
19000,19999.99,237.5
20000,20999.99,250
21000,21999.99,262.5
22000,22999.99,275
23000,23999.99,287.5
24000,24999.99,300
25000,25999.99,312.5
26000,26999.99,325
27000,27999.99,337.5
28000,28999.99,350
29000,29999.99,362.5
30000,30999.99,375
31000,31999.99,387.5
32000,32999.99,400
33000,33999.99,412.5
34000,34999.99,425
35000,and up,437.5
14750,15249.99,545
15250,15749.99,563.2
15750, over ,581.3
