1000,1249.99,36.3
1250,1749.99,54.5
1750,2249.99,72.7
2250,2749.99,90.8
2750,3249.99,109
3250,3749.99,127.2
3750,4249.99,145.3
4250,4749.99,163.5
4750,5249.99,181.7
5250,5749.99,199.8
5750,6249.99,218
6250,6749.99,236.2
6750,7249.99,254.3
7250,7749.99,272.5
7750,8249.99,290.7
8250,8749.99,308.8
8750,9249.99,327
9250,9749.99,345.2
9750,10249.99,363.3
10250,10749.99,381.5
10750,11249.99,399.7
11250,11749.99,417.8
11750,12249.99,436
12250,12749.99,454.2
12750,13249.99,472.3
13250,13749.99,490.5
13750,14249.99,508.7
14250,14749.99,526.8
14750,15249.99,545
15250,15749.99,563.2
15750, over ,581.3
